,0,1,2,3,4,5,6,7,8,9
Group,A,A,A,A,A,B,B,B,B,B
0.60075,3962157.87537299,5741220.85640906,2712005.97108462,3146423.7680181,2706378.90099164,2336155.25845876,3026496.88918859,566092.362171513,4226756.38570062,4640079.82252994
0.60125,5383868.63868739,6079961.44011579,3873714.68485822,3146423.7680181,2706378.90099164,4097249.52442204,3026496.88918859,1746581.78927735,3938789.91507457,4640079.82252994
0.60175,5528703.644441,6930972.4887416,4452852.53375047,3146423.7680181,4090601.82439769,4910086.95702049,1936877.49662629,1530611.29632919,4061249.59179428,4640079.82252994
0.60225,3855671.11326314,6736203.08083299,4015743.93929257,3932730.3301658,3246421.65902315,3999482.53999288,1511781.32678572,1019591.12064177,3837022.1282283,1700273.79099833
0.60275,3143176.84996852,6262862.53872397,3963323.94005062,3017734.59002886,1819294.38509255,2189546.28729,1027389.27161714,446872.338492224,1666157.16895604,1104534.26025525
0.60325,2982834.6379366,4452863.95212144,6003912.41607278,1847973.22275396,2034932.01478366,1009592.69367233,-754344.973194791,617202.976121244,1164447.81223105,768950.026022719
0.60375,2583745.6675055,3519720.59596223,4269271.13188053,2421914.41832166,1700618.18298976,1009592.69367233,-1417274.13662666,940895.396446081,2104425.13693309,870327.926956257
0.60425,2583745.6675055,3519720.59596223,4612514.54829291,2863370.66001271,2686342.19285758,2113902.15971438,-121728.186507804,1465609.86158713,3670362.69333373,1232031.40780611
0.60475,3143166.62338405,3713230.59226554,4194318.42553014,4275392.23663195,4062173.55364909,3289538.69433611,2744027.25584847,1758966.47113094,3742905.90194137,2806195.01346193
0.60525,3840905.77338786,2232456.77511168,3141607.0872413,6174744.30191803,4003959.12373377,2516788.41471342,697719.145357546,3523127.64752025,4502759.14384456,2549638.35777774
0.60575,2641937.28659639,2159917.81596055,2337584.16111988,4996058.77235092,3164879.75386761,2200619.50030564,711876.793125187,3926849.80190832,4567706.83973999,3561580.23820841
0.60625,1473385.84865619,1223468.91833594,1319622.81653532,3258408.26493146,4500316.06067367,3626444.91867484,867353.481194863,2520650.23480116,4494155.51632056,4165221.07034168
0.60675,1360141.62593532,47623.9563562517,734564.510729528,1968272.74850838,3082159.39762526,2624877.21407619,-373959.147139634,847450.900756738,3594581.48983333,4149745.46540105
0.60725,418703.205665647,1278490.10015041,1968464.3852611,1986842.92401571,2033203.26477729,1063411.25523371,1038856.47047578,332972.732208438,2638921.53989542,3738750.87646945
0.60775,-710518.089214441,1566610.25816847,2021573.37143811,1712282.7144323,3237986.54692459,1063411.25523371,489725.876990737,-331486.534912346,2638921.53989542,1292244.49277882
0.60825,2002136.04496239,2124466.04709559,901268.2986199,3285807.99011996,2148338.93350531,1063411.25523371,-846013.476070691,-331486.534912346,2638921.53989542,-71812.0270566543
0.60875,3132097.29049296,664858.811207092,709190.133944252,3760213.14456066,1254229.07712687,1296776.49559486,-846013.476070691,-331486.534912346,2638921.53989542,-53207.7091979487
0.60925,2693995.48742108,-644086.46101254,709190.133944252,1101361.12033877,1637211.65720492,1296776.49559486,1122731.82869956,-331486.534912346,2638921.53989542,-53207.7091979487
0.60975,1349218.6535178,-1145927.97378078,1130234.09570117,-851366.311886631,1101594.9012434,1296776.49559486,1122731.82869956,-331486.534912346,2638921.53989542,-1126793.62458606
0.61025,786234.591214546,-1145927.97378078,-580100.458409346,-1001609.16370514,1675800.71584434,1296776.49559486,1122731.82869956,-331486.534912346,2638921.53989542,-475393.423630654
0.61075,659924.523126159,-1011621.68964192,-3518619.03308884,-3102582.32050918,3371435.76082944,1553428.26570445,1122731.82869956,-331486.534912346,2638921.53989542,-372476.585011791
0.61125,3323098.85128387,-1011621.68964192,-2496482.21745499,-1725642.84559987,4313840.99602667,2628668.73438813,2732040.44555831,1161880.27159902,3637802.54884407,1544482.55953501
0.61175,4359397.98175967,536693.714279032,1955512.19554813,-128832.548480827,3737244.12851262,3985494.19149293,3308346.92356798,2129999.6450495,4554864.52200512,5048348.77111613
0.61225,3667136.74472722,1710574.5646208,3163401.23199594,808228.750747379,3328588.26852425,4024465.59514493,4793903.58027845,1855356.21913252,5628920.6178295,5928510.17680732
0.61275,3388258.16198208,1799518.94740406,4672660.36333331,1485139.14325832,2022855.35557521,2701954.42218847,3538906.73109993,531171.004197418,5132761.17732385,3948713.47823197
0.61325,4670004.01536179,1978804.34113595,3103422.02021037,856182.962487345,-794547.174012413,2394367.49123136,2932209.84083407,-808127.301580774,4657319.69004538,1685913.29633283
0.61375,3557832.60280567,1265817.9841319,197266.116287606,292073.346567682,-1768899.35340838,3171596.9664916,2281174.50650474,2171855.91685012,3914813.90613246,-137615.729272036
0.61425,2115727.4285874,194496.276825154,3043065.54032898,292073.346567682,-1877598.81537147,2821813.03505758,3283096.53499619,3586036.28232454,3181788.22228956,-137615.729272036
0.61475,2115727.4285874,-762594.819913469,3043065.54032898,292073.346567682,-1395462.49211619,3949571.89291315,4146405.2548802,5064626.75444007,2625886.36966561,905500.47427621
0.61525,2115727.4285874,-1255521.99228167,4393168.34674268,814207.919331341,166167.997173727,3949571.89291315,3964272.15224286,3854993.77140681,2625886.36966561,2178230.36817807
0.61575,2115727.4285874,900285.983321237,2597830.56161247,538904.944858836,1428823.17143831,3949571.89291315,3100905.157838,3158372.72229297,2625886.36966561,2854908.83653257
0.61625,3416914.45824764,2068848.94799109,1597135.52760828,-535108.27904214,610121.572428635,3949571.89291315,4844986.25557778,4334507.47468648,3960045.54517517,3431832.73325969
0.61675,3611616.10255268,2757124.8532341,2850126.88679465,-1056915.48687017,-172688.595547032,4459574.57829092,4106078.42932782,4904411.00803921,4994860.36756669,2800268.01937689
